Item_Identifier,Item_Outlet_Sales,Outlet_Identifier
FDZ10,2092.0,OUT045
FDZ40,928.0,OUT035
FDD51,408.0,OUT018
NCY30,904.0,OUT019
FDP58,3508.0,OUT017
FDV49,4300.0,OUT017
FDY24,-1044.0,OUT019
NCO55,1800.0,OUT017
FDR13,2040.0,OUT017
FDS51,1112.0,OUT017
FDP26,1684.0,OUT045
NCB54,3520.0,OUT027
FDF32,3220.0,OUT017
FDN31,2732.0,OUT018
DRM48,644.0,OUT017
FDN20,2756.0,OUT049
DRL01,3708.0,OUT046
FDV56,1820.0,OUT049
DRH13,3144.0,OUT027
FDA03,2404.0,OUT017
FDF47,5028.0,OUT027
FDX32,2420.0,OUT046
FDX57,1628.0,OUT049
NCA30,3036.0,OUT045
FDO49,916.0,OUT013
FDL04,-280.0,OUT019
DRM48,640.0,OUT035
FDR16,3384.0,OUT013
NCC19,2744.0,OUT018
NCE42,3756.0,OUT045
FDY24,1020.0,OUT017
FDH19,2832.0,OUT049
FDJ46,2784.0,OUT013
FDN45,1652.0,OUT010
FDY08,2332.0,OUT035
FDZ37,1548.0,OUT035
NCT30,812.0,OUT045
DRY23,412.0,OUT018
NCZ30,1652.0,OUT018
FDC44,1540.0,OUT018
FDB45,1764.0,OUT035
FDY04,2640.0,OUT013
FDM27,2588.0,OUT046
FDZ43,3948.0,OUT017
FDT39,524.0,OUT019
NCC06,84.0,OUT019
FDL15,3908.0,OUT027
FDL57,4188.0,OUT017
FDU08,1652.0,OUT046
FDK40,4224.0,OUT017
FDQ12,1744.0,OUT010
FDS48,2500.0,OUT017
FDP09,3412.0,OUT045
FDW21,1676.0,OUT049
FDY25,2984.0,OUT035
DRE13,1424.0,OUT017
FDV43,-1196.0,OUT019
FDD22,1836.0,OUT045
FDM46,-460.0,OUT019
NCO30,1036.0,OUT010
FDM25,2856.0,OUT046
NCN41,2004.0,OUT049
FDU24,1584.0,OUT045
FDZ50,2948.0,OUT046
FDP45,4040.0,OUT013
NCM54,2044.0,OUT045
FDW10,852.0,OUT019
FDP20,2148.0,OUT017
FDK32,2500.0,OUT046
FDN52,1456.0,OUT049
FDM58,1876.0,OUT045
FDZ46,3236.0,OUT027
NCA18,1576.0,OUT018
FDD35,2032.0,OUT046
NCK31,892.0,OUT035
FDI40,3072.0,OUT027
FDT50,-376.0,OUT019
NCT06,2636.0,OUT046
FDT31,3060.0,OUT035
FDT45,924.0,OUT049
FDT13,3068.0,OUT045
FDO50,1564.0,OUT045
NCU18,336.0,OUT010
NCR54,3096.0,OUT049
NCO18,2536.0,OUT018
FDU09,1020.0,OUT045
FDT13,2748.0,OUT018
FDE09,1868.0,OUT046
NCK53,-296.0,OUT019
FDG45,3420.0,OUT049
DRH15,768.0,OUT035
FDO21,1660.0,OUT019
FDD14,4404.0,OUT027
FDC09,1756.0,OUT046
FDH45,2236.0,OUT027
FDV32,1116.0,OUT046
FDG12,2016.0,OUT035
FDS32,2324.0,OUT013
NCL55,3688.0,OUT018
DRE01,3840.0,OUT035
DRE15,1260.0,OUT049
NCL42,3932.0,OUT045
FDP31,1116.0,OUT013
FDN33,1260.0,OUT018
FDZ59,2692.0,OUT046
FDE45,964.0,OUT010
FDJ07,1936.0,OUT013
FDQ45,2692.0,OUT018
FDM33,4916.0,OUT027
FDO15,-596.0,OUT010
FDM46,1504.0,OUT013
FDR03,3360.0,OUT045
FDY49,2456.0,OUT018
FDQ60,1988.0,OUT045
FDW10,2844.0,OUT049
FDO51,828.0,OUT049
FDJ40,1480.0,OUT018
FDS20,2628.0,OUT018
FDU45,1872.0,OUT013
FDV02,2716.0,OUT035
FDN09,3876.0,OUT046
NCM55,4416.0,OUT027
FDN23,2044.0,OUT018
FDY31,452.0,OUT010
FDW03,-124.0,OUT010
FDD14,2972.0,OUT046
FDV23,2068.0,OUT017
DRI03,2804.0,OUT045
FDN13,1672.0,OUT035
FDF45,2508.0,OUT027
FDU46,1524.0,OUT035
FDB57,3612.0,OUT049
FDV12,1688.0,OUT049
FDQ58,2440.0,OUT013
NCA18,1916.0,OUT017
FDH52,1056.0,OUT049
FDM24,2152.0,OUT018
NCP43,4336.0,OUT027
NCO18,856.0,OUT019
FDM32,1580.0,OUT017
NCL07,736.0,OUT017
FDK03,4016.0,OUT013
FDP59,1752.0,OUT017
FDQ24,3996.0,OUT049
FDQ16,1464.0,OUT018
FDU44,2636.0,OUT013
FDH28,-1232.0,OUT010
FDV28,-1344.0,OUT019
FDM22,980.0,OUT045
FDR56,3188.0,OUT046
FDV39,3164.0,OUT049
FDU37,-560.0,OUT019
FDQ11,2184.0,OUT010
FDX02,3548.0,OUT045
NCS42,1192.0,OUT018
FDY57,3020.0,OUT027
FDB21,3860.0,OUT049
FDE28,3712.0,OUT017
FDQ55,1964.0,OUT017
FDA48,3552.0,OUT049
FDZ19,2820.0,OUT045
NCC43,4004.0,OUT045
NCV18,1328.0,OUT046
NCA42,2228.0,OUT018
FDY45,4092.0,OUT046
NCC30,2868.0,OUT045
FDM57,1448.0,OUT013
FDL09,788.0,OUT010
FDB09,3468.0,OUT027
FDT44,1972.0,OUT035
NCT06,4048.0,OUT027
FDX26,2904.0,OUT049
FDK32,2516.0,OUT013
DRA12,2272.0,OUT046
FDO46,1148.0,OUT010
FDE52,1432.0,OUT013
NCH42,3664.0,OUT045
FDV08,788.0,OUT035
FDB47,3052.0,OUT018
FDC28,-136.0,OUT010
FDD22,1860.0,OUT046
FDS07,3316.0,OUT027
DRI13,3444.0,OUT045
FDG32,3252.0,OUT018
FDU14,4000.0,OUT017
FDD28,-984.0,OUT019
NCP41,1848.0,OUT017
FDS08,2836.0,OUT049
FDX47,2580.0,OUT045
FDC53,-328.0,OUT019
FDQ19,3924.0,OUT035
FDL14,2600.0,OUT045
FDM33,1556.0,OUT019
FDA51,1844.0,OUT045
FDZ27,504.0,OUT018
FDT04,696.0,OUT046
DRC13,2024.0,OUT049
FDR16,4848.0,OUT027
FDQ03,5228.0,OUT027
FDE38,2768.0,OUT035
DRH23,2360.0,OUT027
FDT11,1072.0,OUT019
FDD09,2932.0,OUT035
FDR40,1400.0,OUT045
FDX07,3060.0,OUT017
FDR07,1644.0,OUT035
FDA51,1892.0,OUT017
FDT59,1704.0,OUT019
FDF20,3196.0,OUT017
FDR13,1980.0,OUT045
FDY26,3372.0,OUT049
FDW04,2168.0,OUT017
FDK52,3640.0,OUT017
FDN60,2536.0,OUT049
FDM09,812.0,OUT019
FDP46,1468.0,OUT049
FDB50,-628.0,OUT019
NCQ29,4112.0,OUT049
FDP16,5304.0,OUT027
FDX33,2316.0,OUT018
FDP07,1236.0,OUT010
FDN22,4020.0,OUT046
FDF39,4168.0,OUT049
FDS21,1132.0,OUT017
NCM42,1728.0,OUT013
FDK50,720.0,OUT019
DRF13,3756.0,OUT027
FDH35,2368.0,OUT018
FDP60,1336.0,OUT018
DRJ49,3496.0,OUT027
NCT42,416.0,OUT019
FDE38,2744.0,OUT049
FDI04,3192.0,OUT049
NCH54,2536.0,OUT045
FDT56,1052.0,OUT049
DRD15,3356.0,OUT018
FDV58,3096.0,OUT013
FDP21,3044.0,OUT049
FDH05,3712.0,OUT013
FDR10,4036.0,OUT027
NCP06,2412.0,OUT045
FDF33,1920.0,OUT049
DRK37,2964.0,OUT013
DRH49,1380.0,OUT045
FDT58,2688.0,OUT013
FDD41,1400.0,OUT018
FDP40,1504.0,OUT018
FDM51,3140.0,OUT027
FDO45,-436.0,OUT010
FDW33,-180.0,OUT010
FDY24,976.0,OUT045
FDB10,1868.0,OUT010
FDM40,2272.0,OUT035
NCI06,2932.0,OUT017
FDW12,404.0,OUT019
FDX48,3968.0,OUT027
NCW05,3164.0,OUT027
FDX27,1612.0,OUT017
DRM37,3140.0,OUT045
FDA38,3828.0,OUT045
FDR36,744.0,OUT046
FDZ45,3188.0,OUT046
FDG05,2608.0,OUT017
FDK28,4072.0,OUT013
FDV47,1424.0,OUT045
FDN21,2604.0,OUT045
FDP20,3508.0,OUT027
FDI35,2976.0,OUT045
DRY23,736.0,OUT013
FDA56,2068.0,OUT017
FDB09,2020.0,OUT013
NCO26,3304.0,OUT027
FDQ49,2280.0,OUT018
FDI52,3384.0,OUT027
FDZ44,3356.0,OUT027
FDZ09,2332.0,OUT018
FDY03,1892.0,OUT049
NCG42,2140.0,OUT017
DRI13,4864.0,OUT027
FDQ32,2092.0,OUT013
FDW16,1544.0,OUT035
FDU27,848.0,OUT046
FDR28,720.0,OUT010
FDQ49,700.0,OUT010
FDS37,1948.0,OUT046
FDW26,3200.0,OUT018
FDX12,3580.0,OUT018
NCP06,2408.0,OUT013
FDW45,436.0,OUT010
NCN30,1544.0,OUT049
FDN24,916.0,OUT049
NCL41,2024.0,OUT027
FDR02,-200.0,OUT019
FDD09,1012.0,OUT010
FDS33,-444.0,OUT010
FDU22,1956.0,OUT045
FDI53,2608.0,OUT013
DRH01,2776.0,OUT049
FDX32,2356.0,OUT013
NCP30,380.0,OUT018
FDB60,3164.0,OUT045
FDB14,1624.0,OUT049
NCP02,992.0,OUT035
FDJ10,2348.0,OUT017
FDG34,1852.0,OUT046
NCB18,1484.0,OUT017
FDM16,1264.0,OUT049
FDW25,1132.0,OUT018
FDB35,-336.0,OUT010
DRN11,2272.0,OUT013
FDF41,1936.0,OUT019
FDH16,1456.0,OUT045
NCQ50,3064.0,OUT018
DRH23,628.0,OUT018
DRJ37,2396.0,OUT013
DRJ24,4332.0,OUT027
FDY16,2976.0,OUT035
FDQ27,1784.0,OUT045
FDZ33,2412.0,OUT045
FDF29,2168.0,OUT045
FDA08,2684.0,OUT049
FDG31,1112.0,OUT046
FDE34,972.0,OUT019
NCR30,2636.0,OUT027
FDV33,4180.0,OUT035
DRZ24,1600.0,OUT018
NCL54,2784.0,OUT035
FDR12,2832.0,OUT049
NCC54,3848.0,OUT046
DRN59,776.0,OUT013
FDX50,-200.0,OUT019
FDV31,4300.0,OUT027
NCA29,4176.0,OUT027
FDW60,2892.0,OUT049
FDX08,2996.0,OUT017
DRD49,3692.0,OUT013
FDD33,3700.0,OUT046
FDW35,732.0,OUT013
FDJ36,1772.0,OUT017
FDV51,2712.0,OUT035
FDW36,1752.0,OUT046
FDH35,2704.0,OUT046
NCS30,3516.0,OUT027
FDN49,784.0,OUT017
FDL08,3620.0,OUT018
FDI09,4016.0,OUT013
FDP19,1788.0,OUT018
FDU21,-1276.0,OUT010
NCP41,1792.0,OUT045
FDY10,1840.0,OUT013
FDP12,384.0,OUT018
NCN26,1876.0,OUT049
FDK44,2812.0,OUT013
FDC28,1760.0,OUT049
FDJ41,5584.0,OUT027
NCT29,2036.0,OUT035
NCH42,1656.0,OUT019
FDU60,2424.0,OUT018
FDS02,3092.0,OUT045
FDC51,2016.0,OUT046
FDU03,2964.0,OUT013
FDX39,3448.0,OUT045
NCY05,-1260.0,OUT010
NCL06,5532.0,OUT027
FDD32,1412.0,OUT035
NCN41,2020.0,OUT045
NCX53,2304.0,OUT049
FDU57,484.0,OUT019
FDQ23,1696.0,OUT046
FDQ52,3944.0,OUT045
FDC14,812.0,OUT045
FDY09,2876.0,OUT035
FDQ28,2552.0,OUT045
FDV25,3572.0,OUT046
FDJ07,1932.0,OUT035
DRB25,1692.0,OUT049
FDK52,1600.0,OUT019
FDY52,2472.0,OUT027
FDB28,3120.0,OUT046
FDT36,672.0,OUT035
FDV25,3640.0,OUT017
NCN07,3548.0,OUT027
FDC57,3204.0,OUT017
FDQ03,3500.0,OUT018
FDU23,2728.0,OUT017
NCX41,3432.0,OUT035
NCD06,812.0,OUT035
FDW08,1764.0,OUT045
NCU29,2396.0,OUT017
NCE06,2556.0,OUT013
FDV52,0.0,OUT010
FDB02,2972.0,OUT017
NCR18,756.0,OUT045
FDK16,1520.0,OUT049
NCQ29,2180.0,OUT010
FDZ01,-176.0,OUT019
FDW27,2584.0,OUT035
FDD17,3456.0,OUT018
FDW39,2876.0,OUT013
DRH59,1216.0,OUT045
FDS52,1648.0,OUT013
FDU40,4528.0,OUT027
NCF54,2764.0,OUT013
FDH46,1740.0,OUT045
NCP14,1668.0,OUT049
FDH50,3044.0,OUT049
DRF15,528.0,OUT010
FDV27,2916.0,OUT027
NCJ06,1940.0,OUT049
FDN02,3020.0,OUT018
FDQ51,856.0,OUT049
FDQ07,3652.0,OUT017
FDS45,1772.0,OUT049
NCJ06,1972.0,OUT045
FDD36,1948.0,OUT035
FDY25,2996.0,OUT045
FDU52,2472.0,OUT046
DRK47,3648.0,OUT017
NCL30,2116.0,OUT017
FDN22,4060.0,OUT035
NCF30,3440.0,OUT027
FDK03,4096.0,OUT035
FDT45,996.0,OUT017
NCC54,5236.0,OUT027
FDP08,2868.0,OUT018
FDU44,2684.0,OUT046
DRG39,904.0,OUT035
FDU32,2020.0,OUT049
FDY27,2832.0,OUT049
NCP54,1976.0,OUT013
NCZ41,2060.0,OUT049
DRL49,2268.0,OUT013
FDI05,968.0,OUT018
FDY56,3684.0,OUT045
DRC13,2020.0,OUT013
NCV29,2936.0,OUT017
FDR24,1524.0,OUT049
FDZ34,2792.0,OUT018
FDP37,2096.0,OUT035
FDX08,4348.0,OUT027
FDS57,2300.0,OUT045
NCG18,1668.0,OUT049
FDK25,2452.0,OUT018
FDH53,1376.0,OUT049
DRI59,3232.0,OUT018
FDA52,2848.0,OUT046
FDT20,-1212.0,OUT010
FDE36,696.0,OUT019
FDI24,2860.0,OUT017
FDB28,2832.0,OUT018
FDV11,2908.0,OUT017
FDP01,2556.0,OUT046
FDD34,4036.0,OUT027
FDJ50,2368.0,OUT027
FDZ44,1948.0,OUT013
DRO59,1276.0,OUT035
DRB48,716.0,OUT045
FDR21,2508.0,OUT018
NCE42,1812.0,OUT010
FDO23,1516.0,OUT046
NCE30,3056.0,OUT018
FDQ22,708.0,OUT035
FDY01,1964.0,OUT045
FDS08,2916.0,OUT017
FDG28,3632.0,OUT018
FDQ51,576.0,OUT018
FDB05,3984.0,OUT017
FDO56,1956.0,OUT049
FDE02,1244.0,OUT018
FDN45,3604.0,OUT017
FDS09,880.0,OUT013
NCA54,2580.0,OUT018
FDP09,1492.0,OUT010
FDC53,1624.0,OUT045
NCM55,3044.0,OUT017
FDL09,2444.0,OUT018
FDA11,-420.0,OUT019
FDA50,1536.0,OUT045
FDC23,2968.0,OUT017
FDE22,2572.0,OUT049
FDD23,3076.0,OUT046
NCA29,2756.0,OUT049
FDK38,2424.0,OUT046
DRC13,1976.0,OUT046
NCP43,2888.0,OUT049
FDX28,1600.0,OUT049
FDF08,1540.0,OUT049
FDZ33,2412.0,OUT046
FDD10,2908.0,OUT049
FDO58,2668.0,OUT017
FDI50,3804.0,OUT017
FDO58,2684.0,OUT045
FDX08,2932.0,OUT013
NCK17,-1192.0,OUT010
FDF39,4196.0,OUT035
FDU45,-36.0,OUT010
NCJ18,1568.0,OUT018
DRC27,1916.0,OUT019
DRC25,1392.0,OUT035
FDU59,2592.0,OUT035
FDU28,3072.0,OUT035
NCP30,708.0,OUT046
FDB39,600.0,OUT018
FDE41,1432.0,OUT013
DRH11,-984.0,OUT010
FDA58,3772.0,OUT045
FDU50,1880.0,OUT046
FDM34,2104.0,OUT013
FDM44,3124.0,OUT027
FDR39,2972.0,OUT045
FDM25,2900.0,OUT045
FDQ49,2592.0,OUT049
DRH25,556.0,OUT018
FDM09,4212.0,OUT027
FDL44,660.0,OUT019
NCR42,260.0,OUT018
DRL59,900.0,OUT046
FDX43,2724.0,OUT013
DRK47,1672.0,OUT010
FDU48,1836.0,OUT018
FDY12,912.0,OUT045
NCN43,1696.0,OUT018
NCM55,2644.0,OUT018
FDQ21,3444.0,OUT027
FDX13,4064.0,OUT035
NCK30,5428.0,OUT027
FDG20,2868.0,OUT049
DRG27,712.0,OUT017
FDY14,3848.0,OUT018
FDP59,1736.0,OUT035
FDU60,2816.0,OUT017
NCC18,748.0,OUT019
DRJ39,3500.0,OUT017
FDS07,1868.0,OUT049
FDM08,5028.0,OUT027
FDP51,2020.0,OUT045
FDU16,1400.0,OUT035
FDH12,1740.0,OUT013
DRE48,1180.0,OUT010
NCL42,5292.0,OUT027
FDR21,2868.0,OUT045
NCW29,2164.0,OUT035
FDO11,4008.0,OUT013
NCM31,2284.0,OUT049
FDV35,508.0,OUT019
FDF58,1100.0,OUT017
NCE43,2688.0,OUT049
FDA02,2356.0,OUT035
DRL37,-1184.0,OUT010
FDR24,1244.0,OUT018
FDW59,1368.0,OUT049
FDS22,836.0,OUT049
FDW24,920.0,OUT017
FDU24,1612.0,OUT035
FDA21,4420.0,OUT027
FDH58,3340.0,OUT027
FDW36,1400.0,OUT018
FDI45,4220.0,OUT027
FDU01,2764.0,OUT018
FDF35,3232.0,OUT027
FDU43,1876.0,OUT019
FDE24,368.0,OUT019
FDK50,2676.0,OUT049
FDG31,1096.0,OUT045
FDC60,1544.0,OUT045
FDL36,1492.0,OUT013
FDP21,3072.0,OUT013
FDW16,1528.0,OUT045
FDX02,3600.0,OUT017
FDQ58,3916.0,OUT027
FDT51,1864.0,OUT046
FDD59,1396.0,OUT049
NCM42,1452.0,OUT018
FDA57,404.0,OUT018
FDZ48,1860.0,OUT035
FDE46,2484.0,OUT045
NCZ30,-12.0,OUT019
FDB56,3124.0,OUT017
FDA25,3216.0,OUT027
FDD20,2060.0,OUT013
FDL25,1572.0,OUT013
NCO18,2828.0,OUT049
FDJ45,848.0,OUT017
FDR12,2812.0,OUT035
NCF19,-1116.0,OUT010
FDK25,2728.0,OUT046
NCR17,1868.0,OUT046
FDC52,2464.0,OUT046
NCA54,2940.0,OUT017
FDR45,1900.0,OUT010
NCM19,1860.0,OUT049
FDF39,5612.0,OUT027
FDX23,1600.0,OUT049
FDD58,3060.0,OUT027
FDX28,1608.0,OUT013
NCD31,2592.0,OUT013
FDU57,2156.0,OUT018
FDI27,800.0,OUT046
NCM42,1748.0,OUT046
FDD32,2836.0,OUT027
FDI34,3680.0,OUT013
NCM29,2116.0,OUT049
